Age,Gender,Item Purchased,Category,Purchase Amount (USD),Country,Location,Size,Year,Review Rating,Promo Code Used,Previous Purchases,Payment Method,Discount value
55,Female,Blouse,Clothing,53,USA,Kentucky,L,2023,3.1,No,nothing,Debit Card,0
19,Male,Sweater,Clothing,64,USA,Maine,L,2023,3.1,Yes,nothing,Cash,10
50,Female,Jeans,Clothing,73,USA,Massachusetts,S,2023,3.1,No,nothing,Credit Card,0
2,Male,Sandals,Footwear,90,USA,Rhode Island,M,2023,3.5,No,nothing,Cash,
45,F,Blouse,Clothing,49,USA,Oregon,M,2023,2.7,No,nothing,Cash,0
46,Female,Sneakers,Footwear,20,USA,Wyoming,M,2023,2.9,No,nothing,Debit Card,0
0,Male,Shirt,Clothing,85,USA,Montana,M,2023,3.2,No,nothing,Cash,0
27,Female,Shorts,Clothing,34,USA,Louisiana,L,2023,3.2,No,nothing,Credit Card,0
26,Female,Coat,Outerwear,97,USA,West Virginia,L,2023,2.6,Yes,8,Debit Card,20
57,Male,Handbag,Accessories,31,USA,Missouri,M,2023,4.8,Yes,4,Cash,10
0,Male,Shoes,Footwear,34,USA,Arkansas,L,2023,4.1,No,nothing,Bank Transfer,
30,Male,Shorts,Clothing,68,USA,Hawaii,S,2023,4.9,No,nothing,Bank Transfer,0
61,Female,Coat,Outerwear,72,USA,Delaware,M,2023,4.5,No,37,Debit Card,0
0,Male,Dress,Clothing,51,USA,New Hampshire,M,2023,4.7,No,31,Credit,0
64,Female,Coat,Outerwear,53,USA,New York,L,2023,4.7,No,34,Debit Card,
64,F,Skirt,Clothing,81,USA,Rhode Island,M,2023,2.8,No,nothing,Cash,
25,Female,Sunglasses,Accessories,36,USA,Alabama,S,2023,4.1,Yes,nothing,Debit Card,20
53,Male,Dress,Clothing,38,USA,Mississippi,XL,2023,4.7,Yes,36,Debit Card,50
52,Female,Sweater,Clothing,48,USA,Montana,S,2023,4.6,No,nothing,Cash,
66,Female,Pants,Clothing,90,USA,Rhode Island,M,2023,3.3,No,nothing,Debit Card,0
21,Female,Pants,Clothing,51,USA,Louisiana,M,2023,2.8,No,nothing,Cash,
31,Female,Pants,Clothing,62,USA,North Carolina,M,2023,4.1,No,nothing,Debit Card,0
56,F,Pants,Clothing,37,USA,California,M,2023,3.2,No,nothing,Debit Card,
31,Female,Pants,Clothing,88,USA,Oklahoma,XL,2023,4.4,No,nothing,Credit Card,0
18,Female,Jacket,Outerwear,22,USA,Florida,M,2023,2.9,Yes,16,Debit Card,10
18,Female,Hoodie,Clothing,25,USA,Texas,M,2023,3.6,Yes,nothing,Credit,20
38,Female,Jewelry,Accessories,20,USA,Nevada,M,2023,3.6,No,nothing,Credit Card,
56,Female,Shorts,Clothing,56,USA,Kentucky,L,2023,5,Yes,nothing,Bank Transfer,10
54,Male,Handbag,Accessories,94,USA,North Carolina,M,2023,4.4,No,nothing,Cash,0
0,Male,Dress,Clothing,48,USA,Wyoming,S,2023,4.1,Yes,14,Credit Card,10
57,Female,Jewelry,Accessories,31,USA,North Carolina,L,2023,4.7,Yes,nothing,Credit Card,50
33,Female,Dress,Clothing,79,USA,West Virginia,L,2023,4.7,No,nothing,Debit Card,
36,Female,Jacket,Outerwear,67,USA,Kansas,M,2023,4.9,No,37,Debit Card,0
54,Female,Pants,Clothing,38,USA,Colorado,L,2023,3.3,Yes,nothing,Cash,10
36,Female,T-shirt,Clothing,91,USA,North Dakota,L,2023,4.6,No,nothing,Credit,0
54,F,Blouse,Clothing,33,USA,Massachusetts,M,2023,4,No,48,Credit Card,0
0,Female,T-shirt,Clothing,69,USA,Illinois,M,2023,4.6,No,nothing,Credit,
35,Female,Jeans,Clothing,45,USA,Indiana,S,2023,2.8,Yes,nothing,Cash,10
29,Male,Dress,Clothing,37,USA,Florida,M,2023,3.7,No,nothing,Debit Card,
70,Male,Pants,Clothing,60,USA,Arizona,S,2023,4.2,No,18,Credit Card,0
69,Female,Handbag,Accessories,76,USA,Louisiana,L,2023,4.6,No,nothing,Debit Card,0
67,Female,Scarf,Accessories,39,USA,Alaska,M,2023,4.5,No,nothing,Debit Card,0
20,Female,Coat,Outerwear,100,USA,Tennessee,M,2023,4.1,Yes,nothing,Cash,10
25,Female,Scarf,Accessories,69,USA,Ohio,L,2023,3.7,Yes,nothing,Credit,10
0,Female,Hat,Accessories,53,USA,Kentucky,S,2023,4.6,No,45,Cash,0
50,Female,Socks,Clothing,21,USA,Tennessee,XL,2023,2.9,Yes,nothing,Credit,10
57,Male,Shirt,Clothing,43,USA,California,L,2023,2.9,No,nothing,Cash,
55,Female,Jewelry,Accessories,54,USA,Montana,M,2023,4.5,Yes,36,Cash,10
42,Male,Shirt,Clothing,55,USA,Nevada,M,2023,2.7,No,nothing,Cash,0
68,Male,Hoodie,Clothing,30,USA,New Jersey,S,2023,4.6,No,34,Debit Card,
49,Male,Blouse,Clothing,28,USA,Maryland,M,2023,3.7,No,nothing,Debit Card,0
59,Male,Skirt,Clothing,59,USA,Vermont,XL,2023,4.7,Yes,nothing,Credit Card,10
42,Female,T-shirt,Clothing,20,USA,Alaska,M,2023,2.6,No,26,Credit Card,
29,Female,Skirt,Clothing,24,USA,Mississippi,S,2023,3.9,No,35,Credit Card,
47,Female,Coat,Outerwear,94,USA,New Mexico,M,2023,4.2,Yes,35,Debit Card,50
40,Female,Jacket,Outerwear,28,USA,South Carolina,M,2023,3,No,49,Credit Card,
41,Female,Backpack,Accessories,73,USA,Mississippi,XL,2023,4.7,Yes,nothing,Credit Card,10
21,Female,Coat,Outerwear,64,USA,West Virginia,M,2023,4.4,No,nothing,Debit Card,
69,Male,Hoodie,Clothing,54,USA,Missouri,M,2023,4.2,No,nothing,Debit Card,0
63,Female,Belt,Accessories,79,USA,Louisiana,L,2023,4.6,No,nothing,Debit Card,
50,Female,Sweater,Clothing,37,USA,Idaho,L,2023,4,Yes,17,Cash,10
55,,Scarf,Accessories,68,USA,Texas,M,2023,4.7,No,nothing,Credit Card,
30,Female,Sneakers,Footwear,21,USA,Mississippi,S,2023,3.8,No,nothing,Credit Card,
33,Female,Sunglasses,Accessories,79,USA,Arizona,L,2023,2.7,No,nothing,Credit Card,
65,F,Boots,Footwear,83,USA,Alabama,S,2023,4.8,Yes,nothing,Debit Card,10
65,Male,Backpack,Accessories,36,USA,New Jersey,M,2023,4.8,No,nothing,Debit Card,0
31,Male,Blouse,Clothing,94,USA,Pennsylvania,S,2023,4.7,No,3,Debit Card,
45,Male,Coat,Outerwear,33,USA,Connecticut,L,2023,4.4,No,49,Debit Card,
0,Female,Handbag,Accessories,46,USA,Utah,L,2023,3.9,Yes,21,Cash,20
48,Male,Belt,Accessories,70,USA,Tennessee,S,2023,4.4,No,nothing,Cash,
22,Male,Belt,Accessories,29,USA,Alabama,M,2023,4.2,No,nothing,Debit Card,
36,Male,Dress,Clothing,48,USA,Virginia,L,2023,2.9,No,34,Bank Transfer,
18,Female,Dress,Clothing,26,USA,Georgia,M,2023,2.9,No,nothing,Bank Transfer,0
48,Male,Pants,Clothing,85,USA,Hawaii,M,2023,2.7,No,nothing,Bank Transfer,
49,F,Gloves,Accessories,58,USA,Indiana,L,2023,4.5,No,nothing,Cash,
64,Male,Scarf,Accessories,85,USA,Utah,M,2023,2.7,No,nothing,Credit Card,0
50,Female,Hat,Accessories,43,USA,Delaware,S,2023,4.2,No,nothing,Debit Card,0
0,Female,Dress,Clothing,53,USA,Delaware,L,2023,3.3,No,36,Debit Card,
50,Female,Skirt,Clothing,91,USA,Nebraska,M,2023,4.7,No,nothing,Debit Card,
38,Female,Jacket,Outerwear,96,USA,Iowa,M,2023,2.6,Yes,nothing,Bank Transfer,10
19,Male,Sandals,Footwear,72,USA,New York,XL,2023,3.3,No,nothing,Credit Card,
67,Male,Shoes,Footwear,96,USA,Virginia,L,2023,2.6,Yes,nothing,Credit Card,10
19,Female,Pants,Clothing,28,USA,Georgia,S,2023,4,No,nothing,Credit Card,0
36,Male,Dress,Clothing,40,USA,Texas,M,2023,4.1,Yes,nothing,Bank Transfer,10
52,Female,Coat,Outerwear,32,USA,Arizona,S,2023,4.4,No,42,Bank Transfer,
53,Female,Sunglasses,Accessories,95,USA,New Mexico,M,2023,4.5,Yes,nothing,Debit Card,10
24,Male,Hoodie,Clothing,41,USA,Nevada,L,2023,3.7,No,nothing,Cash,
52,Female,Shoes,Footwear,53,USA,Ohio,M,2023,3.7,Yes,nothing,Debit Card,10
33,Male,T-shirt,Clothing,47,USA,Wyoming,M,2023,3.5,No,35,Credit Card,
47,Male,Jacket,Outerwear,83,USA,California,XL,2023,3.6,No,15,Cash,0
0,Female,Hat,Accessories,48,USA,South Carolina,L,2023,2.9,No,29,Credit Card,
44,M,Scarf,Accessories,99,USA,South Carolina,S,2023,4.6,No,nothing,Credit Card,0
61,Male,Jacket,Outerwear,87,USA,Texas,M,2023,4.4,No,nothing,Debit Card,
