Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Review Rating,Promo Code Used,Previous Purchases,Payment Method,Discount Value (%)
55,F,Blouse,Clothing,53,Kentucky,L,3.1,No,0,Debit Card,0.0
19,M,Sweater,Clothing,64,Maine,L,3.1,Yes,0,Cash,10.0
50,F,Jeans,Clothing,73,Massachusetts,S,3.1,No,0,Credit Card,0.0
2,M,Sandals,Footwear,90,Rhode Island,M,3.5,No,0,Cash,0.0
45,F,Blouse,Clothing,49,Oregon,M,2.7,No,0,Cash,0.0
46,F,Sneakers,Footwear,20,Wyoming,M,2.9,No,0,Debit Card,0.0
27,F,Shorts,Clothing,34,Louisiana,L,3.2,No,0,Credit Card,0.0
26,F,Coat,Outerwear,97,West Virginia,L,2.6,Yes,8,Debit Card,20.0
57,M,Handbag,Accessories,31,Missouri,M,4.8,Yes,4,Cash,10.0
30,M,Shorts,Clothing,68,Hawaii,S,4.9,No,0,Bank Transfer,0.0
61,F,Coat,Outerwear,72,Delaware,M,4.5,No,37,Debit Card,0.0
64,F,Coat,Outerwear,53,New York,L,4.7,No,34,Debit Card,0.0
64,F,Skirt,Clothing,81,Rhode Island,M,2.8,No,0,Cash,0.0
25,F,Sunglasses,Accessories,36,Alabama,S,4.1,Yes,0,Debit Card,20.0
53,M,Dress,Clothing,38,Mississippi,XL,4.7,Yes,36,Debit Card,50.0
52,F,Sweater,Clothing,48,Montana,S,4.6,No,0,Cash,0.0
66,F,Pants,Clothing,90,Rhode Island,M,3.3,No,0,Debit Card,0.0
21,F,Pants,Clothing,51,Louisiana,M,2.8,No,0,Cash,0.0
31,F,Pants,Clothing,62,North Carolina,M,4.1,No,0,Debit Card,0.0
56,F,Pants,Clothing,37,California,M,3.2,No,0,Debit Card,0.0
31,F,Pants,Clothing,88,Oklahoma,XL,4.4,No,0,Credit Card,0.0
18,F,Jacket,Outerwear,22,Florida,M,2.9,Yes,16,Debit Card,10.0
18,F,Hoodie,Clothing,25,Texas,M,3.6,Yes,0,Credit,20.0
38,F,Jewelry,Accessories,20,Nevada,M,3.6,No,0,Credit Card,0.0
56,F,Shorts,Clothing,56,Kentucky,L,5.0,Yes,0,Bank Transfer,10.0
54,M,Handbag,Accessories,94,North Carolina,M,4.4,No,0,Cash,0.0
57,F,Jewelry,Accessories,31,North Carolina,L,4.7,Yes,0,Credit Card,50.0
33,F,Dress,Clothing,79,West Virginia,L,4.7,No,0,Debit Card,0.0
36,F,Jacket,Outerwear,67,Kansas,M,4.9,No,37,Debit Card,0.0
54,F,Pants,Clothing,38,Colorado,L,3.3,Yes,0,Cash,10.0
36,F,T-shirt,Clothing,91,North Dakota,L,4.6,No,0,Credit,0.0
54,F,Blouse,Clothing,33,Massachusetts,M,4.0,No,48,Credit Card,0.0
35,F,Jeans,Clothing,45,Indiana,S,2.8,Yes,0,Cash,10.0
29,M,Dress,Clothing,37,Florida,M,3.7,No,0,Debit Card,0.0
70,M,Pants,Clothing,60,Arizona,S,4.2,No,18,Credit Card,0.0
69,F,Handbag,Accessories,76,Louisiana,L,4.6,No,0,Debit Card,0.0
67,F,Scarf,Accessories,39,Alaska,M,4.5,No,0,Debit Card,0.0
20,F,Coat,Outerwear,100,Tennessee,M,4.1,Yes,0,Cash,10.0
25,F,Scarf,Accessories,69,Ohio,L,3.7,Yes,0,Credit,10.0
50,F,Socks,Clothing,21,Tennessee,XL,2.9,Yes,0,Credit,10.0
57,M,Shirt,Clothing,43,California,L,2.9,No,0,Cash,0.0
55,F,Jewelry,Accessories,54,Montana,M,4.5,Yes,36,Cash,10.0
42,M,Shirt,Clothing,55,Nevada,M,2.7,No,0,Cash,0.0
68,M,Hoodie,Clothing,30,New Jersey,S,4.6,No,34,Debit Card,0.0
49,M,Blouse,Clothing,28,Maryland,M,3.7,No,0,Debit Card,0.0
59,M,Skirt,Clothing,59,Vermont,XL,4.7,Yes,0,Credit Card,10.0
42,F,T-shirt,Clothing,20,Alaska,M,2.6,No,26,Credit Card,0.0
29,F,Skirt,Clothing,24,Mississippi,S,3.9,No,35,Credit Card,0.0
47,F,Coat,Outerwear,94,New Mexico,M,4.2,Yes,35,Debit Card,50.0
40,F,Jacket,Outerwear,28,South Carolina,M,3.0,No,49,Credit Card,0.0
41,F,Backpack,Accessories,73,Mississippi,XL,4.7,Yes,0,Credit Card,10.0
21,F,Coat,Outerwear,64,West Virginia,M,4.4,No,0,Debit Card,0.0
69,M,Hoodie,Clothing,54,Missouri,M,4.2,No,0,Debit Card,0.0
63,F,Belt,Accessories,79,Louisiana,L,4.6,No,0,Debit Card,0.0
50,F,Sweater,Clothing,37,Idaho,L,4.0,Yes,17,Cash,10.0
55,U,Scarf,Accessories,68,Texas,M,4.7,No,0,Credit Card,0.0
30,F,Sneakers,Footwear,21,Mississippi,S,3.8,No,0,Credit Card,0.0
33,F,Sunglasses,Accessories,79,Arizona,L,2.7,No,0,Credit Card,0.0
65,F,Boots,Footwear,83,Alabama,S,4.8,Yes,0,Debit Card,10.0
65,M,Backpack,Accessories,36,New Jersey,M,4.8,No,0,Debit Card,0.0
31,M,Blouse,Clothing,94,Pennsylvania,S,4.7,No,3,Debit Card,0.0
45,M,Coat,Outerwear,33,Connecticut,L,4.4,No,49,Debit Card,0.0
48,M,Belt,Accessories,70,Tennessee,S,4.4,No,0,Cash,0.0
22,M,Belt,Accessories,29,Alabama,M,4.2,No,0,Debit Card,0.0
36,M,Dress,Clothing,48,Virginia,L,2.9,No,34,Bank Transfer,0.0
18,F,Dress,Clothing,26,Georgia,M,2.9,No,0,Bank Transfer,0.0
48,M,Pants,Clothing,85,Hawaii,M,2.7,No,0,Bank Transfer,0.0
49,F,Gloves,Accessories,58,Indiana,L,4.5,No,0,Cash,0.0
64,M,Scarf,Accessories,85,Utah,M,2.7,No,0,Credit Card,0.0
50,F,Hat,Accessories,43,Delaware,S,4.2,No,0,Debit Card,0.0
50,F,Skirt,Clothing,91,Nebraska,M,4.7,No,0,Debit Card,0.0
38,F,Jacket,Outerwear,96,Iowa,M,2.6,Yes,0,Bank Transfer,10.0
19,M,Sandals,Footwear,72,New York,XL,3.3,No,0,Credit Card,0.0
67,M,Shoes,Footwear,96,Virginia,L,2.6,Yes,0,Credit Card,10.0
19,F,Pants,Clothing,28,Georgia,S,4.0,No,0,Credit Card,0.0
36,M,Dress,Clothing,40,Texas,M,4.1,Yes,0,Bank Transfer,10.0
52,F,Coat,Outerwear,32,Arizona,S,4.4,No,42,Bank Transfer,0.0
53,F,Sunglasses,Accessories,95,New Mexico,M,4.5,Yes,0,Debit Card,10.0
24,M,Hoodie,Clothing,41,Nevada,L,3.7,No,0,Cash,0.0
52,F,Shoes,Footwear,53,Ohio,M,3.7,Yes,0,Debit Card,10.0
33,M,T-shirt,Clothing,47,Wyoming,M,3.5,No,35,Credit Card,0.0
47,M,Jacket,Outerwear,83,California,XL,3.6,No,15,Cash,0.0
44,M,Scarf,Accessories,99,South Carolina,S,4.6,No,0,Credit Card,0.0
61,M,Jacket,Outerwear,87,Texas,M,4.4,No,0,Debit Card,0.0
37,F,Sweater,Clothing,62,Florida,M,4.5,No,46,Credit Card,0.0
58,F,Skirt,Clothing,76,Nevada,S,4.6,Yes,28,Credit Card,10.0
37,F,Sneakers,Footwear,100,Missouri,L,3.8,No,0,Debit Card,0.0
32,F,Gloves,Accessories,73,Delaware,S,3.6,No,43,Debit Card,0.0
21,M,Shoes,Footwear,92,Virginia,M,4.8,Yes,0,Cash,10.0
20,F,Jeans,Clothing,67,New York,XL,2.6,No,20,Bank Transfer,0.0
26,M,Hoodie,Clothing,40,Missouri,XL,3.7,No,0,Debit Card,0.0
62,F,Sunglasses,Accessories,98,South Dakota,M,2.7,No,0,Cash,0.0
27,F,Coat,Outerwear,85,North Dakota,XL,4.6,Yes,0,Credit Card,50.0
54,F,Boots,Footwear,89,West Virginia,L,4.0,No,0,Debit Card,0.0
55,F,Sunglasses,Accessories,24,New Hampshire,L,4.4,No,1,Debit Card,0.0
69,F,Backpack,Accessories,96,New York,M,3.6,No,0,Bank Transfer,0.0
64,F,Jacket,Outerwear,35,Minnesota,L,3.7,No,0,Credit Card,0.0
28,F,Sneakers,Footwear,67,Maryland,L,3.1,Yes,0,Cash,50.0
70,F,Socks,Clothing,79,Montana,L,3.4,Yes,0,Bank Transfer,10.0
58,F,T-shirt,Clothing,85,Alabama,M,2.6,No,0,Bank Transfer,0.0
56,F,Backpack,Accessories,26,New York,M,4.0,No,26,Debit Card,0.0
37,F,Gloves,Accessories,65,Florida,M,4.3,No,0,Credit,0.0
44,F,Hat,Accessories,54,New Jersey,L,3.1,No,20,Cash,0.0
70,F,Coat,Outerwear,95,Massachusetts,S,3.7,Yes,0,Cash,10.0
53,F,Skirt,Clothing,94,Wyoming,M,3.8,No,0,Debit Card,0.0
55,M,Shoes,Footwear,86,Virginia,S,3.4,Yes,0,Debit Card,20.0
50,F,Sandals,Footwear,32,South Dakota,L,4.6,No,29,Cash,0.0
50,M,Sweater,Clothing,45,Kentucky,L,4.8,No,0,Cash,0.0
38,F,Coat,Outerwear,76,Wyoming,M,4.3,No,0,Cash,0.0
64,F,Hat,Accessories,84,West Virginia,L,4.0,No,0,Bank Transfer,0.0
19,F,Shorts,Clothing,72,Virginia,M,4.2,Yes,0,Cash,10.0
40,F,Backpack,Accessories,40,Washington,L,4.8,No,0,Cash,0.0
57,M,Sweater,Clothing,89,Louisiana,L,3.1,No,0,Cash,0.0
44,M,Sweater,Clothing,86,Nevada,M,3.1,Yes,0,Cash,50.0
49,M,Shorts,Clothing,54,California,M,3.6,Yes,45,Debit Card,10.0
43,F,Shorts,Clothing,36,Mississippi,L,3.9,No,0,Cash,0.0
24,F,Sweater,Clothing,89,Mississippi,M,4.8,No,26,Credit Card,0.0
20,M,Scarf,Accessories,32,California,M,4.7,No,0,Credit Card,0.0
